period,name,value
2014.4,연결총당기순이익,"23,394,358"
2015.1,연결총당기순이익,"4,625,815"
2015.2,연결총당기순이익,"10,378,112"
2015.3,연결총당기순이익,"15,836,671"
2015.4,연결총당기순이익,"19,060,144"
2016.1,연결총당기순이익,"5,252,803"
2016.2,연결총당기순이익,"11,100,196"
2016.3,연결총당기순이익,"15,638,051"
2016.4,연결총당기순이익,"22,726,092"
2017.1,연결총당기순이익,"7,684,354"
2017.2,연결총당기순이익,"18,738,205"
2017.3,연결총당기순이익,"29,931,616"
2017.4,영업이익,"53,645,038"
2018.1,연결총당기순이익,"11,688,544"
2018.2,연결총당기순이익,"22,731,956"
2018.3,연결총당기순이익,"35,882,671"
2018.4,연결총당기순이익,"44,344,857"
2019.1,연결총당기순이익,"5,043,585"
2019.2,연결총당기순이익,"10,224,161"
2019.3,연결총당기순이익,"16,511,825"
